,Est,time,max_d,mean_d,triangles
0,0.5225,10000000,8,3.8,57.0
1,1.0,3678,7,2.72,23.0
2,1.0,2810,6,2.92,25.0
3,1.0,3019,6,3.44,38.0
4,0.646,10000000,6,3.36,40.0
5,1.0,3357610,6,3.28,46.0
6,0.9999,2295,6,3.0,29.0
7,1.0,163346,7,3.32,41.0
8,1.0,1796,6,3.2,34.0
9,0.3518,10000000,7,3.96,71.0
10,1.0,4244394,7,3.12,39.0
11,0.4799,10000000,7,3.96,72.0
12,0.61,10000000,7,3.76,57.0
13,1.0,1667,5,2.92,23.0
14,0.4825,10000000,6,3.56,57.0
15,1.0,2325064,6,3.36,44.0
16,0.4624,10000000,9,3.76,60.0
17,1.0,2340643,6,3.36,46.0
18,1.0,378637,6,3.4,39.0
19,1.0,3259935,6,3.4,44.0
20,0.9999,8365347,7,3.56,47.0
21,0.4084,10000000,6,3.64,59.0
22,0.6105,10000000,9,3.72,67.0
23,1.0,1009,5,2.8,21.0
24,0.7419,10000000,7,3.56,52.0
25,0.4688,10000000,8,3.88,67.0
26,1.0,2134776,7,3.28,44.0
27,0.4889,10000000,7,3.56,44.0
28,0.3269,10000000,8,4.24,71.0
29,1.0,646587,7,3.4,43.0
30,0.3799,10000000,8,4.2,89.0
31,0.5195,10000000,7,3.52,54.0
32,0.9999,256871,7,3.28,39.0
33,0.4255,10000000,6,3.72,55.0
34,0.5852,10000000,8,3.6,53.0
35,1.0,4542830,6,3.16,40.0
36,0.693,10000000,6,3.4,47.0
37,0.5763,10000000,8,3.76,65.0
38,0.6285,10000000,6,3.56,50.0
39,0.7394,10000000,6,3.44,45.0
40,1.0,840461,7,3.4,42.0
41,0.6096,10000000,7,3.44,50.0
42,1.0,1141,6,3.08,29.0
43,1.0,1211,6,2.84,21.0
44,1.0,1440,5,3.16,29.0
45,1.0,1082,5,2.96,28.0
46,0.7859,10000000,6,3.52,47.0
47,0.7412,10000000,8,3.68,63.0
48,1.0,2859,6,3.12,38.0
49,0.5798,10000000,9,3.6,63.0
50,0.6475,10000000,8,3.8,71.0
51,0.3845,10000000,7,3.8,60.0
52,1.0,64247,7,3.56,40.0
53,0.9999,2803714,6,3.16,35.0
54,0.4628,10000000,11,4.48,114.0
55,0.3641,10000000,7,4.04,71.0
56,1.0,52819,6,3.16,35.0
57,1.0,1941964,6,3.36,42.0
58,0.4675,10000000,8,3.72,64.0
59,0.6357,10000000,10,4.0,79.0
60,1.0,14954,6,3.12,34.0
61,0.7399,10000000,8,3.52,57.0
62,1.0,609857,6,3.4,45.0
63,1.0,5421,6,3.24,34.0
64,1.0,1762510,6,3.44,42.0
65,0.9999,3078,6,3.24,30.0
66,0.537,10000000,7,3.8,66.0
67,0.7566,10000000,6,3.44,50.0
68,1.0,1200,6,3.2,36.0
69,1.0,3417,6,3.24,33.0
70,1.0,44371,6,3.28,39.0
71,0.3529,10000000,7,3.96,67.0
72,0.421,10000000,6,3.64,54.0
73,0.9999,9996,5,2.92,28.0
74,1.0,7705,6,3.16,34.0
75,1.0,30869,6,3.4,42.0
76,0.7776,10000000,8,3.6,59.0
77,0.6915,10000000,7,3.52,52.0
78,1.0,60507,6,3.56,49.0
79,0.8067,10000000,7,3.24,39.0
80,0.8341,10000000,7,3.28,48.0
81,0.53,10000000,8,4.12,88.0
82,1.0,1271,5,3.0,28.0
83,0.7501,10000000,7,3.4,45.0
84,1.0,1348,6,3.2,31.0
85,0.7337,10000000,7,3.16,38.0
86,1.0,8596,6,3.12,29.0
87,0.9999,105885,7,3.36,44.0
88,1.0,1168,5,3.12,32.0
89,1.0,8323,5,3.12,35.0
90,1.0,10070,6,3.08,32.0
91,0.6461,10000000,8,3.44,60.0
92,0.9999,2473246,8,3.28,41.0
93,1.0,6760391,7,3.2,40.0
94,0.9999,2805,5,3.0,28.0
95,0.5446,10000000,7,3.64,58.0
96,0.7138,10000000,8,3.24,35.0
97,1.0,905480,6,3.48,45.0
98,0.4083,10000000,7,3.72,64.0
99,0.3464,10000000,6,3.92,69.0
100,1.0,24177,7,3.52,48.0
101,0.5203,10000000,9,4.04,76.0
102,0.5182,10000000,10,3.92,79.0
103,0.662,10000000,7,3.52,57.0
104,0.5929,10000000,8,3.44,49.0
105,0.4667,10000000,7,3.96,64.0
106,0.6943,10000000,8,3.52,48.0
107,0.799,10000000,8,3.32,49.0
108,0.815,10000000,6,3.52,53.0
109,1.0,1662,6,3.08,32.0
110,0.4503,10000000,7,3.64,49.0
111,0.9999,1886,6,3.0,31.0
112,0.4229,10000000,8,3.92,61.0
113,1.0,3781,5,3.2,31.0
114,0.9999,941,6,3.08,29.0
115,1.0,7797,6,3.04,29.0
116,1.0,4553,5,2.92,29.0
117,0.793,10000000,8,3.2,38.0
118,0.9999,38414,6,2.96,28.0
119,0.6823,10000000,7,3.44,57.0
120,0.9999,11158,6,3.4,43.0
121,0.3216,10000000,8,3.92,57.0
122,0.5833,10000000,8,3.48,52.0
123,0.9999,63337,6,3.24,33.0
124,0.6496,10000000,6,3.28,45.0
125,0.3885,10000000,7,3.8,61.0
126,0.4559,10000000,7,3.76,63.0
127,1.0,2341,6,3.0,31.0
128,1.0,1808,6,3.28,36.0
129,0.3721,10000000,7,3.84,64.0
130,0.683,10000000,7,3.48,50.0
131,1.0,837,5,2.96,26.0
132,1.0,47210,6,2.92,28.0
133,1.0,481139,6,3.64,51.0
134,1.0,6473,6,3.28,37.0
135,0.5883,10000000,8,3.52,44.0
136,0.9999,247467,6,3.28,36.0
137,0.9999,26592,6,3.4,47.0
138,1.0,4453,7,3.36,41.0
139,0.2384,10000000,7,4.0,64.0
140,0.9999,2109,7,2.92,26.0
141,1.0,3456,7,3.28,37.0
142,0.6599,10000000,7,3.32,35.0
143,0.7822,10000000,7,3.32,45.0
144,0.5306,10000000,6,3.48,45.0
145,0.7972,10000000,7,3.28,45.0
146,1.0,35521,6,3.32,41.0
147,0.5487,10000000,8,3.48,49.0
148,0.5885,10000000,7,3.56,53.0
149,1.0,114535,7,3.28,41.0
150,0.3478,10000000,6,3.76,53.0
151,0.4785,10000000,6,3.8,49.0
152,1.0,4094240,6,3.56,44.0
153,1.0,197073,7,3.36,40.0
154,0.3981,10000000,8,4.0,67.0
155,0.5685,10000000,8,3.68,63.0
156,0.3201,10000000,9,4.0,62.0
157,1.0,3968,6,3.08,29.0
158,0.1837,10000000,7,4.12,80.0
159,0.6333,10000000,10,3.76,65.0
160,1.0,5074,6,3.12,29.0
161,0.7381,10000000,6,3.36,55.0
162,0.9999,115873,7,3.2,38.0
163,0.9999,9465,7,3.16,36.0
164,0.3197,10000000,8,4.6,108.0
165,1.0,1550,5,2.92,22.0
166,0.6509,10000000,8,3.72,55.0
167,0.6612,10000000,7,3.4,58.0
168,1.0,8798,7,3.24,38.0
169,0.4305,10000000,10,4.24,104.0
170,0.5827,10000000,6,3.44,52.0
171,0.7087,10000000,8,3.64,74.0
172,0.5155,10000000,8,3.84,65.0
173,0.6953,10000000,7,3.48,44.0
174,0.7068,10000000,7,3.48,54.0
175,1.0,2180,6,2.96,29.0
176,1.0,1157,5,3.04,28.0
177,1.0,1455,6,3.04,31.0
178,0.766,10000000,7,3.32,44.0
179,0.4641,10000000,8,3.96,82.0
180,0.602,10000000,7,3.52,51.0
181,0.4274,10000000,7,4.04,68.0
182,0.7113,10000000,7,3.32,46.0
183,0.9999,81156,6,3.12,36.0
184,1.0,5899,6,3.12,34.0
185,0.4285,10000000,7,4.0,77.0
186,0.6078,10000000,6,3.16,35.0
187,0.4656,10000000,7,3.56,50.0
188,0.6356,10000000,7,3.44,45.0
189,0.534,10000000,8,3.72,67.0
190,0.9999,6396,6,3.52,43.0
191,0.6883,10000000,7,3.68,59.0
192,1.0,211559,7,3.44,45.0
193,1.0,1260,5,3.12,29.0
194,0.7497,10000000,7,3.36,54.0
195,0.4913,10000000,7,3.4,45.0
196,1.0,1606,6,3.2,30.0
197,0.5342,10000000,6,3.76,49.0
198,0.4601,10000000,6,3.76,58.0
199,0.3302,10000000,7,4.04,72.0
200,1.0,3817,6,3.16,30.0
201,0.5701,10000000,9,4.12,86.0
202,1.0,304888,6,3.0,32.0
203,0.5255,10000000,7,3.76,60.0
204,0.5081,10000000,7,3.8,52.0
205,0.9999,2294145,6,3.48,50.0
206,1.0,135635,6,3.48,47.0
207,1.0,3901,6,3.2,33.0
208,1.0,4070164,7,3.2,39.0
209,0.2857,10000000,7,4.16,90.0
210,1.0,2274,7,3.48,44.0
211,0.5426,10000000,7,3.76,58.0
212,1.0,5760,6,3.08,32.0
213,0.6143,10000000,7,3.56,46.0
214,1.0,23637,6,3.32,36.0
215,1.0,1548627,7,3.24,40.0
216,0.6603,10000000,7,3.56,53.0
217,1.0,39107,7,3.32,41.0
218,1.0,321636,7,3.24,38.0
219,1.0,2232,6,3.28,35.0
220,1.0,15964,7,3.24,39.0
221,0.6283,10000000,7,3.28,43.0
222,1.0,7640,6,3.48,45.0
223,0.2311,10000000,7,3.96,70.0
224,1.0,2928,6,2.88,28.0
225,0.5073,10000000,7,3.56,50.0
226,0.7248,10000000,10,3.76,82.0
227,0.3982,10000000,7,3.72,67.0
228,0.4252,10000000,7,3.88,62.0
229,0.4129,10000000,8,3.8,63.0
230,0.5066,10000000,9,4.0,82.0
231,0.5306,10000000,6,3.68,58.0
232,0.6826,10000000,7,3.6,52.0
233,0.4858,10000000,9,3.76,73.0
234,0.7517,10000000,7,3.28,46.0
235,0.9999,2434,5,3.2,36.0
236,0.7581,10000000,8,3.28,45.0
237,0.607,10000000,7,3.32,46.0
238,0.7841,10000000,6,3.72,55.0
239,1.0,913,5,2.84,27.0
240,0.7739,10000000,8,3.6,56.0
241,0.587,10000000,7,3.68,62.0
242,0.6088,10000000,7,3.6,54.0
243,1.0,134540,6,3.36,39.0
244,0.7455,10000000,8,3.48,46.0
245,0.5891,10000000,7,3.36,43.0
246,0.9999,5802091,6,3.56,51.0
247,1.0,2158,6,2.96,28.0
248,1.0,3082270,7,3.24,40.0
249,0.9999,2867,6,3.52,43.0
250,0.4136,10000000,8,3.92,64.0
251,0.4783,10000000,9,3.96,74.0
252,0.3931,10000000,7,3.64,52.0
253,0.9999,6659,6,3.36,39.0
254,0.0927,10000000,7,4.24,78.0
255,1.0,25520,7,3.48,45.0
256,0.6321,10000000,7,3.64,55.0
257,1.0,3491,6,3.44,49.0
258,1.0,9841025,7,3.4,45.0
259,1.0,2930,6,2.8,26.0
260,0.9999,206180,6,3.52,45.0
261,1.0,967,5,2.96,25.0
262,1.0,82014,7,3.56,48.0
263,0.4978,10000000,7,3.68,59.0
264,0.5098,10000000,7,3.76,65.0
265,1.0,7526,6,3.4,42.0
266,1.0,15868,7,3.12,35.0
267,0.9999,1992368,8,3.24,44.0
268,0.5906,10000000,7,3.52,54.0
269,0.5986,10000000,8,3.6,46.0
270,1.0,472573,6,3.48,51.0
271,1.0,3706,5,3.2,34.0
272,1.0,75153,6,3.2,33.0
273,0.6575,10000000,8,3.32,45.0
274,0.4056,10000000,7,3.92,73.0
275,0.7504,10000000,8,3.68,71.0
276,0.9999,369113,7,3.64,47.0
277,0.4737,10000000,7,3.8,67.0
278,0.3434,10000000,8,3.88,64.0
279,1.0,1427,5,2.92,24.0
280,0.3956,10000000,7,3.84,57.0
281,0.4618,10000000,8,3.8,63.0
282,1.0,2674,5,3.28,42.0
283,0.6515,10000000,9,3.68,65.0
284,1.0,1637,5,2.92,24.0
285,1.0,375736,7,3.16,35.0
286,0.6835,10000000,9,3.48,44.0
287,0.5821,10000000,7,3.76,60.0
288,1.0,9927,6,3.24,42.0
289,0.9999,2195,6,3.0,29.0
290,0.7659,10000000,7,3.04,29.0
291,0.5812,10000000,7,3.56,53.0
292,0.6215,10000000,6,3.52,57.0
293,1.0,4187,5,3.16,38.0
294,0.3874,10000000,7,3.64,51.0
295,0.6946,10000000,7,3.64,48.0
296,1.0,2460,6,2.92,28.0
297,1.0,13129,6,3.08,34.0
298,0.7113,10000000,8,3.44,48.0
299,1.0,4220,6,3.08,30.0
300,1.0,52459,7,3.4,42.0
301,1.0,62097,6,3.28,43.0
302,0.9999,1296,5,2.92,25.0
303,0.3719,10000000,8,3.64,56.0
304,0.9999,878650,7,3.32,41.0
305,0.577,10000000,7,3.88,63.0
306,0.411,10000000,9,3.92,69.0
307,1.0,1543,5,3.08,31.0
308,0.9999,2160,5,2.84,22.0
309,1.0,4781,6,3.08,28.0
310,1.0,195385,7,3.48,48.0
311,0.7947,10000000,7,3.4,44.0
312,1.0,2157466,6,3.16,36.0
313,0.9999,6615,6,2.92,27.0
314,1.0,14173,6,3.48,49.0
315,0.4373,10000000,6,3.72,52.0
316,1.0,707592,6,2.92,30.0
317,1.0,17302,6,3.12,34.0
318,0.3078,10000000,8,4.0,76.0
319,0.3814,10000000,7,3.68,56.0
320,0.7251,10000000,8,3.6,59.0
321,0.8089,10000000,8,3.48,45.0
322,1.0,1310205,9,3.12,34.0
323,1.0,5936,6,3.12,33.0
324,0.4984,10000000,7,3.68,55.0
325,0.4596,10000000,10,4.0,70.0
326,0.5211,10000000,8,3.56,52.0
327,0.665,10000000,7,3.72,61.0
328,0.3655,10000000,7,3.48,53.0
329,0.8221,10000000,7,3.56,52.0
330,0.9999,1627,5,3.04,29.0
331,1.0,1180,5,2.88,25.0
332,1.0,203781,7,3.4,40.0
333,1.0,8369118,6,3.28,46.0
334,0.706,10000000,7,3.72,56.0
335,1.0,340423,7,3.2,41.0
336,1.0,21114,7,3.16,32.0
337,0.9999,4176008,7,3.4,48.0
338,1.0,9090,5,3.04,30.0
339,0.6353,10000000,8,3.56,54.0
340,1.0,156681,7,3.4,39.0
