,Est,time,max_d,mean_d,triangles
0,0.1119,10000000,11,5.4,166.0
1,0.1073,10000000,10,5.56,164.0
2,0.1403,10000000,9,5.2,146.0
3,0.0,1066,10,5.72,150.0
4,0.0,3083447,8,4.72,101.0
5,0.0643,10000000,10,5.36,136.0
6,0.1395,10000000,8,4.56,89.0
7,0.3205,10000000,10,4.36,90.0
8,0.119,10000000,11,5.32,151.0
9,0.1044,10000000,9,4.92,121.0
10,0.1409,10000000,12,5.56,151.0
11,0.1335,10000000,11,5.48,160.0
12,0.1553,10000000,9,4.92,133.0
13,0.0,51857,10,5.24,134.0
14,0.0001,7420,9,5.6,140.0
15,0.0,10603,10,5.72,167.0
16,0.1669,10000000,9,4.84,107.0
17,0.1708,10000000,8,4.72,109.0
18,0.1891,10000000,10,4.92,152.0
19,0.1201,10000000,7,4.76,106.0
20,0.0,3433,9,5.0,108.0
21,0.2804,10000000,9,4.56,99.0
22,0.1823,10000000,11,5.16,133.0
23,0.2387,10000000,10,4.76,119.0
24,0.1125,10000000,9,4.68,109.0
25,0.1146,10000000,11,5.68,151.0
26,0.2104,10000000,10,5.32,157.0
27,0.2881,10000000,9,4.6,90.0
28,0.0961,10000000,9,4.84,110.0
29,0.2572,10000000,9,4.4,80.0
30,0.0,9009,9,5.04,122.0
31,0.0001,20729,8,5.24,133.0
32,0.0,1674,10,5.84,152.0
33,0.0,57124,9,5.4,133.0
34,0.0385,10000000,10,5.32,147.0
35,0.1831,10000000,11,5.56,161.0
36,0.2289,10000000,12,5.72,256.0
37,0.0,131670,9,4.76,109.0
38,0.0966,10000000,9,5.2,121.0
39,0.0933,10000000,8,4.52,83.0
40,0.0,142802,9,5.84,168.0
41,0.0757,10000000,10,5.48,169.0
42,0.0297,10000000,10,5.04,124.0
43,0.267,10000000,10,5.24,154.0
44,0.1567,10000000,10,4.88,110.0
45,0.0,3144558,11,5.2,127.0
46,0.0,217797,7,4.48,94.0
47,0.152,10000000,13,5.52,172.0
48,0.0,2766,9,5.8,181.0
49,0.1086,10000000,10,4.88,119.0
50,0.1528,10000000,9,4.92,112.0
51,0.0,44470,12,5.24,150.0
52,0.0552,10000000,13,6.0,192.0
53,0.1905,10000000,10,5.04,122.0
54,0.1552,10000000,9,5.48,147.0
55,0.0,1689,9,5.6,151.0
56,0.2318,10000000,8,4.32,86.0
57,0.0,1654,9,5.48,147.0
58,0.0,7458,8,4.84,104.0
59,0.0727,10000000,9,5.16,132.0
60,0.1223,10000000,10,5.28,136.0
61,0.0,49917,10,5.56,158.0
62,0.3273,10000000,9,4.68,111.0
63,0.2694,10000000,8,4.2,76.0
64,0.0995,10000000,13,6.16,233.0
65,0.1899,10000000,10,4.6,106.0
66,0.1497,10000000,12,6.28,236.0
67,0.1539,10000000,9,4.92,117.0
68,0.1766,10000000,13,6.4,242.0
69,0.0,8130644,10,5.2,147.0
70,0.0305,10000000,8,4.76,106.0
71,0.1195,10000000,11,5.72,164.0
72,0.0,4715964,9,4.64,99.0
73,0.2562,10000000,9,4.96,122.0
74,0.092,10000000,11,5.88,171.0
75,0.1272,10000000,9,5.08,139.0
76,0.1144,10000000,7,4.48,91.0
77,0.21,10000000,10,4.72,106.0
78,0.2605,10000000,10,4.92,115.0
79,0.0,893,11,6.32,207.0
80,0.3293,10000000,13,5.12,156.0
81,0.236,10000000,9,4.56,92.0
82,0.0,13719,11,5.64,168.0
83,0.0,103981,7,4.48,84.0
84,0.0383,10000000,9,4.64,93.0
85,0.0686,10000000,9,5.36,151.0
86,0.2093,10000000,11,5.56,168.0
87,0.4426,10000000,7,3.76,55.0
88,0.0,2500,9,5.24,126.0
89,0.3604,10000000,8,4.08,68.0
90,0.332,10000000,10,5.28,142.0
91,0.2113,10000000,13,5.92,216.0
92,0.0001,37336,9,5.2,139.0
93,0.1389,10000000,12,6.0,196.0
94,0.0746,10000000,9,5.12,123.0
95,0.141,10000000,12,5.36,149.0
96,0.1209,10000000,9,5.08,123.0
97,0.0001,432274,10,5.6,163.0
98,0.1146,10000000,10,5.32,145.0
99,0.0327,10000000,9,5.56,133.0
100,0.0,741750,12,5.76,155.0
