,Est,time,max_d,mean_d,triangles
294,0.0,4899,13,7.24,272.0
295,0.0,315952,18,10.16,615.0
296,0.0,323,15,8.04,342.0
297,0.0,577,15,7.88,321.0
298,0.0001,523,15,8.4,408.0
299,0.0,1052,15,8.12,382.0
300,0.0,320708,14,7.8,335.0
301,0.0,168811,16,8.68,445.0
302,0.0,14531,13,7.88,343.0
303,0.0,1324990,12,7.84,309.0
304,0.0,415,13,6.52,214.0
305,0.0,842,15,7.72,358.0
306,0.0,1649,11,6.32,197.0
307,0.0,1505,13,8.32,347.0
308,0.111,10000000,13,7.0,293.0
309,0.0,13185,14,7.16,295.0
310,0.0,860037,12,7.48,298.0
311,0.0,6183,13,7.0,284.0
312,0.0,420,14,7.52,301.0
313,0.0,803,12,6.96,276.0
314,0.0,597,13,7.88,310.0
315,0.0,2742,15,7.2,304.0
316,0.0,25920,12,7.52,330.0
317,0.0,387,14,9.4,454.0
318,0.0,627,13,7.64,309.0
319,0.0,1237,13,7.48,313.0
320,0.0,593,14,7.6,293.0
321,0.0,5947,15,8.6,411.0
322,0.0,335,11,7.4,281.0
323,0.0,380,16,8.56,368.0
324,0.0,2238,12,6.72,236.0
325,0.0,411,17,7.96,346.0
326,0.0,724,13,7.36,297.0
327,0.0,488,13,7.68,313.0
328,0.0,1958,12,7.68,296.0
329,0.0,1367,16,7.6,335.0
330,0.0,14455,11,6.52,201.0
331,0.0,717,18,9.0,580.0
332,0.0719,10000000,11,6.64,245.0
333,0.0,766,11,6.72,212.0
334,0.0,452,12,7.12,266.0
335,0.0,9910,15,7.52,303.0
336,0.0,3990,16,9.32,468.0
337,0.0001,2517,12,6.96,246.0
338,0.0,844,12,7.32,293.0
339,0.0,283870,13,6.64,244.0
340,0.0,1420,11,6.8,209.0
341,0.0,2060,12,6.56,215.0
342,0.0,590,16,9.52,544.0
343,0.0001,544,12,6.72,204.0
344,0.0,365,14,8.0,332.0
345,0.0,27544,15,7.68,354.0
346,0.0,2481,15,8.64,383.0
347,0.0,345,14,7.48,266.0
348,0.0,11782,15,7.96,332.0
349,0.0,2679,15,7.64,301.0
350,0.0,947,14,7.84,334.0
351,0.0,1123,12,6.84,224.0
352,0.0,40868,14,6.84,298.0
353,0.0,690,15,7.8,356.0
354,0.0,410,12,7.12,238.0
355,0.0,39789,15,8.52,430.0
356,0.0,15440,15,8.12,359.0
357,0.0,2676824,15,7.48,320.0
358,0.0,1045,11,7.12,258.0
359,0.0,931,12,6.88,233.0
360,0.0,412,14,8.0,350.0
361,0.0,1380,17,8.52,393.0
362,0.0,855,15,8.6,419.0
363,0.0,1485,12,7.36,279.0
364,0.0,332,12,7.56,276.0
365,0.0,1807,18,8.96,460.0
366,0.0001,17208,16,8.0,343.0
367,0.0,5040,15,7.84,338.0
368,0.0,634,13,7.76,294.0
369,0.0,1369,14,6.76,265.0
370,0.0312,10000000,13,6.8,233.0
371,0.0667,10000000,17,8.08,410.0
372,0.0001,28981,16,8.08,344.0
373,0.0,1536,16,8.4,415.0
374,0.0,1743,12,7.36,284.0
375,0.0,372,11,7.16,242.0
376,0.0,17794,11,6.68,210.0
377,0.0,575,13,7.6,300.0
378,0.0,761,13,7.64,288.0
379,0.0001,659,12,6.76,246.0
380,0.0,912,13,7.52,284.0
381,0.0,3224361,15,8.84,426.0
382,0.0,375,14,8.32,357.0
383,0.0,1394,16,8.04,369.0
384,0.0,849,16,7.44,299.0
385,0.0,368,9,6.8,234.0
386,0.0,2613,12,6.48,201.0
387,0.0,1668,14,6.96,266.0
388,0.0,511,11,7.16,239.0
389,0.0001,368,11,6.76,227.0
390,0.0,9433,14,7.16,274.0
391,0.0,370,18,9.84,573.0
392,0.0422,10000000,12,6.68,223.0
393,0.0,702,15,8.56,384.0
394,0.0001,579,11,6.16,181.0
395,0.0,1554,14,8.4,388.0
396,0.0,81035,15,8.36,381.0
397,0.0,7186061,11,6.72,227.0
398,0.0,546170,13,8.32,397.0
399,0.0,1258,13,7.36,300.0
400,0.0001,310140,16,8.08,437.0
401,0.0,5565,14,7.28,287.0
402,0.0,613,14,7.92,311.0
403,0.0,7147,15,7.04,252.0
404,0.0,442217,11,6.08,167.0
405,0.0,532,13,7.8,355.0
406,0.0,1386,10,6.68,221.0
407,0.0,458,14,7.8,332.0
408,0.0,1403,12,7.48,303.0
409,0.0,865,11,6.6,201.0
410,0.0764,10000000,14,7.84,326.0
411,0.0,198043,15,7.84,367.0
412,0.0,849,15,8.28,367.0
413,0.0,343,11,7.12,240.0
414,0.0,390,13,7.8,300.0
415,0.0,323,11,7.08,232.0
416,0.0909,10000000,16,7.96,373.0
417,0.0,83862,15,8.12,324.0
418,0.0,739,17,8.4,428.0
419,0.0,465,15,7.64,299.0
420,0.0,20864,14,7.36,286.0
421,0.0,3644,19,10.32,572.0
422,0.0659,10000000,14,7.76,386.0
423,0.0,859,10,6.0,184.0
424,0.0,1310,11,7.0,246.0
425,0.0,43008,16,8.24,388.0
426,0.0,1771,15,8.36,373.0
427,0.0,7356,12,6.92,246.0
428,0.0,522,10,6.68,215.0
429,0.0,119561,14,8.28,383.0
430,0.0,487,15,9.28,497.0
431,0.0,6860,13,7.16,297.0
432,0.0,1808,12,7.36,278.0
433,0.0,470,12,6.88,220.0
434,0.0,143038,20,9.36,632.0
435,0.0,4541,11,6.6,228.0
436,0.0,74361,13,7.88,339.0
437,0.0,1764,15,8.16,374.0
438,0.0,14754,12,7.32,268.0
439,0.0,2251,14,7.52,294.0
440,0.0,807,11,6.6,212.0
441,0.0,7952,15,8.28,396.0
442,0.0,47679,13,6.64,221.0
443,0.0,6209641,13,7.12,288.0
444,0.0,639,15,7.88,359.0
445,0.0,5455,14,8.08,335.0
446,0.0,221921,15,7.64,323.0
447,0.0001,306,13,8.28,351.0
448,0.0,4748,11,6.76,235.0
449,0.0,1065,10,6.8,227.0
450,0.0,26551,13,8.08,318.0
451,0.0,25328,13,7.88,286.0
452,0.0,2281,15,8.12,378.0
453,0.0,2463,12,6.72,219.0
454,0.0,423,12,6.84,228.0
455,0.0,706,15,8.36,357.0
456,0.0,380,12,7.52,258.0
457,0.0001,22068,13,7.76,371.0
458,0.0,539,14,7.56,285.0
459,0.0,403,12,7.64,294.0
460,0.0,4448,13,8.2,400.0
461,0.0,643980,18,8.16,450.0
462,0.0,413,14,7.64,312.0
463,0.0,65320,12,7.0,262.0
464,0.0,598,12,7.16,241.0
465,0.0,382,14,8.16,376.0
466,0.0001,258,13,7.88,319.0
467,0.0,1358,14,8.16,355.0
468,0.0,3467873,13,7.44,278.0
469,0.0001,433,10,5.84,150.0
470,0.0,810978,12,7.88,325.0
471,0.0,3335197,14,7.36,319.0
472,0.0,546,11,6.48,204.0
473,0.0,2667089,15,8.44,412.0
474,0.0,667,11,6.8,228.0
475,0.0,347,13,6.96,249.0
476,0.0,497721,14,7.12,269.0
477,0.0001,650,13,7.52,276.0
478,0.0,690866,15,7.12,272.0
479,0.0,1661,12,7.08,273.0
480,0.0,12255,14,7.0,261.0
481,0.0,99901,14,8.08,402.0
482,0.0,2358,12,6.56,218.0
483,0.0,2419,14,7.96,310.0
484,0.0,436,13,7.92,324.0
485,0.0,469,16,9.24,468.0
486,0.0,525,16,8.16,423.0
487,0.0,782,14,7.4,279.0
488,0.0,702,14,8.04,336.0
489,0.0,19770,14,7.64,281.0
490,0.0,10435,14,7.0,255.0
491,0.0,292,11,6.56,196.0
492,0.0,174606,14,7.32,321.0
493,0.0,304,13,7.84,312.0
494,0.0,827,11,6.44,204.0
495,0.0001,422,11,7.04,254.0
496,0.0,817,11,6.6,225.0
497,0.0,326,12,7.72,286.0
498,0.0001,3722,17,8.92,487.0
499,0.0,19538,14,7.16,278.0
