,Est,time,max_d,mean_d,triangles
0,0.0,308,18,9.96,513.0
1,0.0,449,16,9.72,501.0
2,0.0,440,20,10.96,651.0
3,0.0,10801,16,10.24,570.0
4,0.0,327,21,11.24,705.0
5,0.0,324,16,10.24,555.0
6,0.0,1045,16,9.76,556.0
7,0.0,438,17,9.68,517.0
8,0.0,198,17,9.92,560.0
9,0.0,371,13,8.48,380.0
10,0.0,478,15,9.32,431.0
11,0.0,259,16,9.96,549.0
12,0.0001,159,16,10.8,614.0
13,0.0,1703,22,11.52,743.0
14,0.0,368,13,9.04,438.0
15,0.0,10741,23,12.48,1045.0
16,0.0,290,19,10.48,599.0
17,0.0,960,19,12.0,862.0
18,0.0001,172,17,10.72,594.0
19,0.0,309,16,9.84,521.0
20,0.0,206,17,10.52,588.0
21,0.0001,183,16,10.32,540.0
22,0.0,341,18,10.72,680.0
23,0.0,618,19,11.2,728.0
24,0.0,4855,23,13.56,1107.0
25,0.0,473,18,11.4,731.0
26,0.0,255,16,9.36,486.0
27,0.0,338,16,9.92,571.0
28,0.0,254,17,11.2,669.0
29,0.0,277,21,11.08,753.0
30,0.0,318,16,8.76,387.0
31,0.0,335,16,8.6,359.0
32,0.0,252,15,9.8,531.0
33,0.0,581,19,10.28,590.0
34,0.0,700,16,9.56,509.0
35,0.0,358,16,10.36,599.0
36,0.0001,234,18,10.08,527.0
37,0.0,212,18,10.08,557.0
38,0.0,472,15,9.52,489.0
39,0.0,3965,14,8.72,394.0
40,0.0,317,20,11.16,731.0
41,0.0,1022,16,10.0,574.0
42,0.0,860037,19,10.32,577.0
43,0.0,518,16,8.76,437.0
44,0.0001,180,15,9.04,444.0
45,0.0,770,18,9.0,448.0
46,0.0,324,17,10.36,583.0
47,0.0,291,16,10.52,606.0
48,0.0001,301,17,10.16,606.0
49,0.0,225,16,10.16,529.0
50,0.0001,261,20,11.56,811.0
51,0.0,197,18,9.92,504.0
52,0.0,328,20,11.08,686.0
53,0.0,15177,15,9.4,438.0
54,0.0001,178,18,10.12,528.0
55,0.0,5362,19,11.92,774.0
56,0.0,281,17,10.12,614.0
57,0.0,640,17,10.2,535.0
58,0.0,402,15,9.44,457.0
59,0.0549,10000000,19,10.4,633.0
60,0.0001,156,15,10.48,578.0
61,0.0,314,18,9.16,468.0
62,0.0,315,20,11.04,798.0
63,0.0,206,17,9.96,516.0
64,0.0,238,18,9.6,481.0
65,0.0001,318,17,10.44,643.0
66,0.0,183,21,12.36,835.0
67,0.0,379,19,11.44,762.0
68,0.0,377,20,11.32,725.0
69,0.0,412,15,9.44,474.0
70,0.0,385,18,9.92,541.0
71,0.0,325,23,12.2,916.0
72,0.0,318,16,10.56,612.0
73,0.0,379,15,9.48,493.0
74,0.0,827,20,11.2,718.0
75,0.0001,231,19,10.36,586.0
76,0.0,256,17,10.0,575.0
77,0.0,346,14,9.28,410.0
78,0.0,250,14,9.88,494.0
79,0.0,457,18,10.96,711.0
80,0.0,418,16,8.64,388.0
81,0.0,260,17,10.24,537.0
82,0.0,213,17,9.8,503.0
83,0.0001,217,16,9.92,527.0
84,0.0,451,15,10.12,548.0
85,0.0,304,17,9.8,489.0
86,0.0,494,21,10.88,663.0
